ID,date,Typ,Zimmer,Fläche,Preis,PLZ BfS,PLZ Crawler,Ort,Kanton
59261,17/10/2019,Möbliertes Wohnobjekt,1,20,1742,1800,1800,Vevey,Waadt
59262,17/10/2019,Möbliertes Wohnobjekt,1,24,1949,1800,1800,Vevey,Waadt
59264,19/02/2020,Doppeleinfamilienhaus,6,200,5500,1218,1218,Le Grand-Saconnex,Genf
59264,19/02/2020,Doppeleinfamilienhaus,6,200,5500,1218,1218,Le Grand-Saconnex,Genf
59268,06/03/2020,Wohnung,4,85,1500,5034,5034,Suhr,Aargau
59274,22/03/2020,Wohnung,"3,5",94,1500,2500,2500,Biel/Bienne,Bern
59275,30/01/2020,Wohnung,"3,5",72,2500,1885,1885,Chesières,Waadt
59276,11/03/2020,Wohnung,"4,5",131,3800,1805,1805,Jongny,Waadt
59276,11/03/2020,Wohnung,"4,5",131,3800,1805,1805,Jongny,Waadt
59276,11/03/2020,Wohnung,"4,5",131,3800,1805,1805,Jongny,Waadt
59277,12/03/2020,Wohnung,"3,5",59,1295,1752,1752,Villars-sur-Glâne,Freiburg
59282,13/03/2020,Möbliertes Wohnobjekt,2,55,1280,1854,1854,Leysin,Waadt
59285,04/02/2020,Wohnung,"3,5",92,1750,1803,1803,Chardonne,Waadt
59285,04/02/2020,Wohnung,"3,5",92,1750,1803,1803,Chardonne,Waadt
59291,17/10/2019,Wohnung,"3,5",70,1350,6900,6900,Lugano,Tessin
59291,17/10/2019,Wohnung,"3,5",70,1350,6900,6900,Lugano,Tessin
59291,17/10/2019,Wohnung,"3,5",70,1350,6900,6900,Lugano,Tessin
59292,10/03/2020,Wohnung,"4,5",83,2040,3604,3604,Thun,Bern
59295,16/10/2019,Wohnung,4,70,1760,8180,8180,Bülach,Zürich
59295,16/10/2019,Wohnung,4,70,1760,8180,8180,Bülach,Zürich
