,Ort,Zimmer,Durchschnittspreis/m2
213,Obwalden,3.5,13.8
214,Nidwalden,3.5,15.899999999999999
215,Glarus,3.5,12.7
216,Zug,3.5,19.15
217,Freiburg,3.5,14.15
218,Solothurn,3.5,13.25
219,Basel-Stadt,3.5,16.75
220,Basel-Landschaft,3.5,16.45
221,Schaffhausen,3.5,13.15
222,Appenzell A.Rh.,3.5,12.75
223,Appenzell I.Rh.,3.5,14.0
224,St.Gallen,3.5,13.850000000000001
225,Graubünden,3.5,15.05
226,Aargau,3.5,14.7
227,Thurgau,3.5,13.350000000000001
228,Tessin,3.5,13.5
229,Waadt,3.5,16.5
230,Wallis,3.5,13.25
231,Neuenburg,3.5,11.95
232,Genf,3.5,18.3
233,Jura,3.5,11.3
234,Zürich,4.5,17.55
235,Bern,4.5,13.85
236,Luzern,4.5,14.149999999999999
237,Uri,4.5,12.7
238,Schwyz,4.5,15.65
239,Obwalden,4.5,13.2
240,Nidwalden,4.5,15.0
241,Glarus,4.5,12.1
242,Zug,4.5,18.75
243,Freiburg,4.5,13.5
244,Solothurn,4.5,12.9
245,Basel-Stadt,4.5,17.0
246,Basel-Landschaft,4.5,16.5
247,Schaffhausen,4.5,13.05
248,Appenzell A.Rh.,4.5,12.25
249,Appenzell I.Rh.,4.5,12.8
250,St.Gallen,4.5,13.05
251,Graubünden,4.5,13.5
252,Aargau,4.5,14.25
253,Thurgau,4.5,12.350000000000001
254,Tessin,4.5,13.85
255,Waadt,4.5,16.3
256,Wallis,4.5,12.7
257,Neuenburg,4.5,12.45
258,Genf,4.5,18.3
259,Jura,4.5,10.3
260,Zürich,5.5,17.85
261,Bern,5.5,13.55
262,Luzern,5.5,14.149999999999999
263,Uri,5.5,12.8
264,Schwyz,5.5,16.25
265,Obwalden,5.5,12.55
266,Nidwalden,5.5,14.7
267,Glarus,5.5,10.9
268,Zug,5.5,20.6
269,Freiburg,5.5,13.6
270,Solothurn,5.5,13.05
271,Basel-Stadt,5.5,18.200000000000003
272,Basel-Landschaft,5.5,17.6
273,Schaffhausen,5.5,13.4
274,Appenzell A.Rh.,5.5,11.3
275,Appenzell I.Rh.,5.5,13.85
276,St.Gallen,5.5,12.55
277,Graubünden,5.5,12.05
278,Aargau,5.5,14.149999999999999
279,Thurgau,5.5,11.850000000000001
280,Tessin,5.5,15.1
281,Waadt,5.5,17.0
282,Wallis,5.5,13.4
283,Neuenburg,5.5,13.05
284,Genf,5.5,20.55
285,Jura,5.5,9.600000000000001
