,ID,date,Strasse,Hausnummer,PLZ,Ort,Kanton,type,Zimmer,Fläche,Preis
25504,48032,07.03.2020,Via Povro ,16,6932,Breganzona,Tessin,Wohnung,3.5,68,1380
25505,48039,07.03.2020,Gradinata Corogno ,2,6900,Massagno,Tessin,Wohnung,3.5,95,1530
25506,48040,17.03.2020,Buckhauserstrasse ,31,8048,Zürich,Zürich,Maisonette / Duplex,5.5,182,3995
25507,48042,19.03.2020,Grüningerstrasse ,2,8133,Esslingen,Zürich,Wohnung,3.5,70,1640
25508,48043,19.03.2020,Aronenweg ,15,8618,Oetwil am See,Zürich,Wohnung,4.5,103,2000
25509,48044,17.02.2020,Wesemlinstrasse ,2,6006,Luzern,Luzern,Wohnung,2.5,71,1820
25510,48046,18.03.2020,Weiningerstr. ,53,8103,Unterengstringen,Zürich,Gewerbe,-,226,2653
25511,48047,17.03.2020,via In Selva ,17,6600,Locarno,Tessin,Wohnung,4.5,135,1900
25512,48051,20.02.2020,Bachstrasse ,15,8594,Güttingen,Thurgau,Wohnung,4.5,121,2270
25513,48053,13.02.2020,Delsbergstrasse ,4,4203,Grellingen,Basel-Landschaft,Wohnung,3.5,90,1450
25514,48055,02.03.2020,Via cantonale ,64,6983,Magliaso,Tessin,Wohnung,1.5,56,980
25515,48057,13.02.2020,Eichwisstrasse ,29,8634,Hombrechtikon,Zürich,Wohnung,3.5,70,1785
25516,48058,13.02.2020,"Scesaplanaweg, ",3,7000,Chur,Graubünden,Wohnung,3.5,86,1800
25517,48060,02.02.2020,Vögeliacher ,10,8180,Bülach,Zürich,Wohnung,4,90,1896
25518,48063,11.01.2020,Bahnhofstrasse ,10,3800,Interlaken,Bern,Wohnung,4.5,150,1990
25519,48064,13.02.2020,Thesenacher ,24,8126,Zumikon,Zürich,Wohnung,3.5,80,3400
25520,48065,12.02.2020,Rebrainstrasse ,23,8106,Adlikon ZH,Zürich,Wohnung,2.5,75,1990
25521,48067,11.01.2020,Hutmattweg ,13,4114,Hofstetten SO,Solothurn,Wohnung,3.5,75,1550
25522,48072,29.01.2020,Pierre-de-Vingle ,14,2000,Neuchâtel,Neuenburg,Wohnung,3.5,90,1815
25523,48076,22.03.2020,Le-Corbusier-Platz ,11,3027,Bern,Bern,Wohnung,4.5,131,2900
25524,48078,11.01.2020,Else-Züblinstr. ,74,8404,Winterthur,Zürich,Wohnung,2.5,69,1860
25525,48079,18.01.2020,Sulzer-Allee ,71,8404,Winterthur,Zürich,Attikawohnung,2.5,85,2070
25526,48080,11.03.2020,Furlenbodenstrasse ,25,4415,Lausen,Basel-Landschaft,Wohnung,4.5,94,1680
25527,48081,10.03.2020, Schneebergstrasse ,10,9000,St. Gallen,St. Gallen,Wohnung,3.5,104,1960
25528,48083,22.02.2020,Chemin de Chandieu ,22,1006,Lausanne,Waadt,Wohnung,2,60,1490
25529,48086,24.01.2020,Neue Bahnhofstrasse ,150,4132,Muttenz,Basel-Landschaft,Wohnung,3.5,88,2280
25530,48087,22.01.2020,Im Sunneberg ,15,8345,Adetswil,Zürich,Maisonette / Duplex,5.5,140,2695
25531,48103,06.03.2020,Blauenstrasse ,1,4127,Birsfelden,Basel-Landschaft,Wohnung,3.5,72,1560
25532,48120,22.03.2020,Rue de la Côte ,40,2400,Le Locle,Neuenburg,Wohnung,5,125,1690
25533,48122,22.03.2020,Chemin de Chaponeyres ,2,1806,St-Légier-La Chiésaz,Waadt,Wohnung,2.5,61,1450
25534,48123,22.03.2020,Av. Haldimand ,71,1400,Yverdon-les-Bains,Waadt,Wohnung,2.5,66,1600
25535,48124,04.03.2020,Schluchtbachstrasse ,12,4552,Derendingen,Solothurn,Wohnung,3.5,91,1760
25536,48125,10.01.2020,Via Industria ,49,6987,Caslano,Tessin,Wohnung,-,56,1300
25537,48126,18.02.2020,Rue du Canal ,15,1400,Yverdon-les-Bains,Waadt,Wohnung,4.5,84,1870
25538,48127,10.01.2020,Im Tobel ,11,8706,Meilen,Zürich,Wohnung,2.5,73,1890
25539,48131,15.01.2020,Rebgasse ,8,8004,Zürich,Zürich,Wohnung,2.5,78,3110
25540,48132,10.01.2020,Löwenstrasse ,29,8001,Zürich,Zürich,Büro,-,345,555
25541,48134,11.03.2020,Rösslimatte ,10,6207,Nottwil,Luzern,Wohnung,4.5,108,1945
25542,48135,19.02.2020,Avenue de Florissant ,32,1020,Renens VD,Waadt,Wohnung,4.5,97,2215
25543,48136,27.02.2020,Schulstrasse ,3,5415,Nussbaumen AG,Aargau,Attikawohnung,2.5,62,1460
25544,48137,06.02.2020,Rue des Bouchers ,5,1700,Fribourg,Freiburg,Wohnung,3.5,67,1405
25545,48138,28.02.2020,Schmelzistrasse ,44,2540,Grenchen,Solothurn,Wohnung,3.5,72,1240
