,ID,date,Strasse,Hausnummer,PLZ,Ort,type,Zimmer,Fläche,Preis
67485,67485,16.01.2020,Impasse du Vany ,3,1725,Posieux,Wohnung,3.5,74,1350
67488,67488,20.02.2020,Täfernstrasse ,5,5405,Dättwil AG,Gewerbe,-,364,160
67489,67489,27.01.2020,Büelhofstrasse ,40,8405,Winterthur,Wohnung,2,64,1730
67490,67490,03.02.2020,Burematt ,6,5243,Mülligen,Wohnung,3.5,92,1820
67497,67497,11.03.2020,Gartenstrasse ,24,5432,Neuenhof,Attikawohnung,4,80,1775
67502,67502,27.01.2020,Route de Peyres-Possens ,19,1062,Sottens,Wohnung,3.5,75,1500
67504,67504,27.01.2020,Luzernstrasse ,16,4556,Aeschi SO,Dachwohnung,4.5,82,1350
67507,67507,27.01.2020,Oberdorfstrasse ,3,4934,Madiswil,Wohnung,-,100,1650
67509,67509,27.01.2020,Chemin de Vauban ,2,1524,Marnand,Wohnung,4.5,100,1800
67510,67510,27.01.2020,Neuve ,3,2314,La Sagne NE,Wohnung,3.5,90,1440
67511,67511,27.01.2020,Via della Posta ,26,6934,Bioggio,Wohnung,3.5,145,2700
67512,67512,27.01.2020,Via rinaldo simen ,50,6648,Minusio,Wohnung,3,90,1570
67514,67514,27.01.2020,Juchstrasse ,51,9548,Matzingen,Wohnung,3.5,87,1350
67516,67516,27.01.2020,Kirchgasse ,8,8266,Steckborn,Wohnung,2.5,65,985
67520,67520,08.02.2020,Unterfeldweg ,1,3272,Walperswil,Wohnung,3.5,105,1800
67521,67521,27.01.2020,Oholten ,7,5703,Seon,Gewerbe,-,240,1800
67525,67525,05.03.2020,Rümlangstrasse ,22,8156,Oberhasli,Dachwohnung,3.5,90,1940
67526,67526,27.01.2020,Starenstrasse ,1,4103,Bottmingen,Wohnung,4.5,100,1990
67528,67528,04.02.2020,Via Resgias ,5,7166,Trun,Wohnung,4.5,100,1450
67530,67530,27.01.2020,Winkelbüel ,2,6043,Adligenswil,Loft,2.5,206,3500
