;ID;date;Strasse;Hausnummer;PLZ;Ort;type;Zimmer;Fläche;Preis
4559;4559;17.03.2020;;;4107;Ettingen;Wohnung;1;150;830
4563;4563;17.03.2020;Kirchstrasse ;;5413;Birmenstorf AG;Wohnung;4;90;1800
4566;4566;17.03.2020;Käsistrasse ;;5244;Birrhard;Wohnung;3.5;80;1770
4567;4567;17.03.2020;Offenburgerstrasse ;50;4057;Basel;Wohnung;2.5;60;1290
4568;4568;17.03.2020;Zürichstrasse ;;8700;Küsnacht ZH;Dachwohnung;4.5;127;4100
4569;4569;17.03.2020;Seefeldstrasse ;110;8008;Zürich;Wohnung;4.5;124;4700
4571;4571;22.03.2020;Birchstrasse ;18;5406;Rütihof;Wohnung;2.5;80;1470
4573;4573;17.03.2020;Burgenmatt ;1;5213;Villnachern;Wohnung;3.5;86;1600
4575;4575;17.03.2020;via cantonale ;15;6930;Bedano;Wohnung;3.5;85;1350
4576;4576;17.03.2020;Schwanenfelsstrasse ;;8212;Neuhausen am Rheinfall;Wohnung;3.5;101;1670
4577;4577;17.03.2020;Gjuchstrasse ;31;8953;Dietikon;Wohnung;4;65;1688
4578;4578;17.03.2020;Weinbergstrasse ;9;8807;Freienbach;Wohnung;2.5;81;1650
4579;4579;17.03.2020;Obstgartenweg ;18;8708;Männedorf;Wohnung;3.5;81;1680
4580;4580;22.03.2020;Rotzenwil ;921;9313;Muolen;Einzelzimmer;4.5;104;750
4581;4581;17.03.2020;Heidenerstrasse ;275;9411;Reute AR;Dachwohnung;5.5;131;1770
4582;4582;17.03.2020;Hauptstrasse ;;4133;Pratteln;Wohnung;3;62;1350
4583;4583;19.03.2020;Lützelmattweg ;10;6006;Luzern;Attikawohnung;2.5;54;1790
4584;4584;18.03.2020;Kosthausstrasse ;10;6010;Kriens;Wohnung;4;84;1630
4585;4585;18.03.2020;Kosthausstrasse ;10;6010;Kriens;Wohnung;3.5;84;1820
4586;4586;17.03.2020;Grundstrasse ;3;6060;Sarnen;Wohnung;2.5;88;2295
4587;4587;17.03.2020;Bahnhofstrasse ;8;6162;Entlebuch;Wohnung;4;;1330
4588;4588;19.03.2020;Kosthausstrasse ;10;6010;Kriens;Wohnung;4;91;2190
4589;4589;17.03.2020;Sonnenblickstrasse ;1;8404;Winterthur;Wohnung;2;50;1395
4590;4590;17.03.2020;Unter Dorf;;6286;Altwis;Wohnung;4.5;145;1870
4591;4591;17.03.2020;Burgauerstrasse ;48;9230;Flawil;Dachwohnung;4.5;120;1540
4592;4592;17.03.2020;;;1260;Nyon;Attikawohnung;3.5;82;2350
4593;4593;17.03.2020;;;1297;Founex;Wohnung;3.5;85;2500
4594;4594;17.03.2020;;;1607;Palézieux-Village;Wohnung;4.5;110;1830
4595;4595;17.03.2020;;;1950;Sion;Wohnung;3;75;1250
4596;4596;17.03.2020;Unter Dorf;;6286;Altwis;Wohnung;4.5;145;1870
4598;4598;17.03.2020;Route des Cerisiers ;21;1802;Corseaux;Wohnung;4.5;120;3000
4599;4599;17.03.2020;Würenloserstrasse ;8;8112;Otelfingen;Wohnung;3.5;88;2100
4600;4600;20.03.2020;Geranienstrasse ;8;8008;Zürich;Wohnung;4.5;89;3985
4601;4601;20.03.2020;Geranienstrasse ;8;8008;Zürich;Wohnung;3.5;88;3910
