,date,type,adress,price,surface,room
88,15.01.2020,Büro,"

Adresse
Stampfenbachstrasse 138
8006 Zürich

","

Preis

Auf Anfrage


","
Fläche
587 m2
","
Zimmer
-
"
89,15.01.2020,Büro,"

Adresse
Stampfenbachstrasse 138
8006 Zürich

","

Preis

Auf Anfrage


","
Fläche
662 m2
","
Zimmer
-
"
90,15.01.2020,Büro,"

Adresse
Stampfenbachstrasse 138
8006 Zürich

","

Preis

Auf Anfrage


","
Fläche
409 m2
","
Zimmer
-
"
91,15.01.2020,Büro,"

Adresse
Stampfenbachstrasse 138
8006 Zürich

","

Preis

CHF
360 Jahr/m2


","
Fläche
1249 m2
","
Zimmer
-
"
92,15.01.2020,Büro,"

Adresse
Stampfenbachstrasse 138

8006 Zürich

","

Preis

Auf Anfrage


","
Fläche
334 m2
","
Zimmer
-
"
93,15.01.2020,Büro,"

Adresse
Stampfenbachstrasse 138
8006 Zürich

","

Preis

Auf Anfrage


","
Fläche
253 m2
","
Zimmer
-
"
94,04.02.2020,Tiefgarage,"

Adresse
Tiefgarage Schaffhauserstr.
8006 Zürich

","

Preis

CHF
200 pro Monat


","
Fläche
-
","
Zimmer
-
"
95,11.01.2020,Coiffeursalon,"

Adresse
8006 Zürich

","

Preis

CHF
3'450 pro Monat


","
Fläche
100 m2
","
Zimmer
-
"
96,10.01.2020,Tiefgarage,"

Adresse
 Georgengasse 1/3
8006 Zürich

","

Preis

CHF
200 pro Monat


","
Fläche
-
","
Zimmer
-
"
97,10.03.2020,Büro,"

Adresse
Scheuchzerstrasse 44
8006 Zürich

","

Preis

CHF
4'000 pro Monat


","
Fläche
116 m2
","
Zimmer
6
"
98,08.01.2020,Wohnung,"

Adresse
Frohburgstrasse 80
8006 Zürich

","

Preis

CHF
3'300 pro Monat


","
Fläche
140 m2
","
Zimmer
4.5
"
99,08.01.2020,Gewerbe,"

Adresse
8006 Zürich

","

Preis

CHF
1'600 pro Monat


","
Fläche
29 m2
","
Zimmer
-
"
100,11.03.2020,Moto Hallenplatz,"

Adresse
Tiefgarage Schaffhauserstr.
8006 Zürich

","

Preis

CHF
80 pro Monat


","
Fläche
-
","
Zimmer
-
"
101,11.02.2020,Büro,"

Adresse
Schaffhauserstrasse 6
8006 Zürich

","

Preis

CHF
3'645 pro Monat


","
Fläche
105 m2
","
Zimmer
-
"
102,24.01.2020,Wohnung,"

Adresse
Pflugstrasse 20
8006 Zürich

","

Preis

CHF
3'490 pro Monat


","
Fläche
100 m2
","
Zimmer
3.5
"
103,17.02.2020,Lager,"

Adresse
Wasserwerkstrasse 12
8006 Zürich

","

Preis

Auf Anfrage


","
Fläche
36 m2
","
Zimmer
-
"
104,11.03.2020,Lager,"

Adresse
Schaffhauserstrasse 11
8006 Zürich

","

Preis

CHF
163 Jahr/m2


","
Fläche
94 m2
","
Zimmer
-
"
105,27.02.2020,Ladenfläche,"

Adresse
Kornhausstrasse 20
8006 Zürich

","

Preis

CHF
3'696 pro Monat


","
Fläche
154 m2
","
Zimmer
-
"
106,21.11.2019,Café,"

Adresse
8006 Zürich

","

Preis

CHF
2'300 pro Monat


","
Fläche
120 m2
","
Zimmer
-
"
107,23.01.2020,Büro,"

Adresse
Scheuchzerstrasse 28
8006 Zürich

","

Preis

CHF
3'745 pro Monat


","
Fläche
142 m2
","
Zimmer
4
"
108,15.02.2020,Gewerbe,"

Adresse
8006 Zürich

","

Preis

CHF
2'800 pro Monat


","
Fläche
80 m2
","
Zimmer
-
"
109,10.02.2020,Wohnung,"

Adresse
Winterthurerstrasse 83
8006 Zürich

","

Preis

CHF
5'550 pro Monat


","
Fläche
-
","
Zimmer
4.5
"
110,04.09.2019,Wohnung,"

Adresse
Universitätsstrasse 80/82
8006 Zürich

","

Preis

CHF
2'560 pro Monat


","
Fläche
45 m2
","
Zimmer
2
"
111,04.09.2019,Möbliertes Wohnobjekt,"

Adresse
Universitätsstrasse 80/82
8006 Zürich

","

Preis

CHF
2'560 pro Monat


","
Fläche
45 m2
","
Zimmer
2
"
112,10.12.2019,Wohnung,"

Adresse
Universitätsstrasse 80/82
8006 Zürich

","

Preis

CHF
3'900 pro Monat


","
Fläche
80 m2
","
Zimmer
3.5
"
113,17.03.2020,Wohnung,"

Adresse
Universitätsstrasse 80/82
8006 Zürich

","

Preis

CHF
1'990 pro Monat


","
Fläche
20 m2
","
Zimmer
1
"
114,10.12.2019,Wohnung,"

Adresse
Universitätsstrasse 80/82
8006 Zürich

","

Preis

CHF
3'900 pro Monat


","
Fläche
80 m2
","
Zimmer
3.5
"
115,17.03.2020,Möbliertes Wohnobjekt,"

Adresse
Universitätsstrasse 80/82
8006 Zürich

","

Preis

CHF
1'990 pro Monat


","
Fläche
20 m2
","
Zimmer
1
"
116,23.01.2020,Lager,"

Adresse
Götzstrasse 5
8006 Zürich

","

Preis

CHF
1'950 pro Monat


","
Fläche
280 m2
","
Zimmer
-
"
117,21.11.2019,Coiffeursalon,"

Adresse
8006 Zürich

","

Preis

CHF
1'600 pro Monat


","
Fläche
62 m2
","
Zimmer
-
"
118,20.11.2019,Tiefgarage,"

Adresse
Beckenhofstrasse 70
8006 Zürich

","

Preis

CHF
210 pro Monat


","
Fläche
-
","
Zimmer
-
"
119,26.02.2020,Möbliertes Wohnobjekt,"

Adresse
Nelkenstrasse 20
8006 Zürich

","

Preis

CHF
2'250 pro Monat


","
Fläche
25 m2
","
Zimmer
1
"
120,20.02.2020,Moto Hallenplatz,"

Adresse
Waltersbachstrasse (Parking)
8006 Zürich

","

Preis

CHF
50 pro Monat


","
Fläche
-
","
Zimmer
-
"
121,18.02.2020,Möbliertes Wohnobjekt,"

Adresse
Nordstrasse 5
8006 Zürich

","

Preis

CHF
3'450 pro Monat


","
Fläche
60 m2
","
Zimmer
2.5
"
122,18.02.2020,Möbliertes Wohnobjekt,"

Adresse
Nordstrasse 5
8006 Zürich

","

Preis

CHF
2'700 pro Monat


","
Fläche
 40 m2
","
Zimmer
1.5
"
123,04.12.2019,Möbliertes Wohnobjekt,"

Adresse
Culmannstrasse 39
8006 Zürich

","

Preis

CHF
3'349 pro Monat


","
Fläche
69 m2
","
Zimmer
2.5
"
124,04.12.2019,Möbliertes Wohnobjekt,"

Adresse
Culmannstrasse 39
8006 Zürich

","

Preis

CHF
2'800 pro Monat


","
Fläche
35 m2
","
Zimmer
2
"
125,04.12.2019,Möbliertes Wohnobjekt,"

Adresse
Culmannstrasse 39
8006 Zürich

","

Preis

CHF
2'690 pro Monat


","
Fläche
35 m2
","
Zimmer
1.5
"
126,10.02.2020,Gewerbe,"

Adresse
Weinbergstrasse 44
8006 Zürich

","

Preis

CHF
9'140 pro Monat


","
Fläche
189 m2
","
Zimmer
1
"
127,10.02.2020,Büro,"

Adresse
Weinbergstrasse 44
8006 Zürich

","

Preis

CHF
9'140 pro Monat


","
Fläche
189 m2
","
Zimmer
1
"
128,10.02.2020,Attikawohnung,"

Adresse
Weinbergstrasse 44
8006 Zürich

","

Preis

CHF
5'750 pro Monat


","
Fläche
99 m2
","
Zimmer
3
"
129,13.01.2020,Mansarde,"

Adresse
Narzissenstrasse 7
8006 Zürich

","

Preis

CHF
450 pro Monat


","
Fläche
8 m2
","
Zimmer
1
"
130,20.02.2020,Tiefgarage,"

Adresse
Riedtlistr. 19
8006 Zürich

","

Preis

CHF
250 pro Monat


","
Fläche
-
","
Zimmer
-
"
131,04.01.2020,Möbliertes Wohnobjekt,"

Adresse
Gladbachstrasse 8
8006 Zürich

","

Preis

CHF
1'980 pro Monat


","
Fläche
40 m2
","
Zimmer
1.5
"
132,07.01.2020,Tiefgarage,"

Adresse
Wasserwerkstrasse 14
8006 Zürich

","

Preis

CHF
195 pro Monat


","
Fläche
-
","
Zimmer
-
"
133,19.02.2020,Tiefgarage,"

Adresse
Universitätsstrasse 100
8006 Zürich

","

Preis

CHF
250 pro Monat


","
Fläche
-
","
Zimmer
-
"
134,18.02.2020,Tiefgarage,"

Adresse
Möhrlistrasse 102 / Riedtlistrasse
8006 Zürich

","

Preis

CHF
170 pro Monat


","
Fläche
-
","
Zimmer
-
"
135,18.02.2020,Tiefgarage,"

Adresse
Nordstrasse 15
8006 Zürich

","

Preis

CHF
170 pro Monat


","
Fläche
-
","
Zimmer
-
"
136,11.03.2020,Büro,"

Adresse
Universitätstrasse 63
8006 Zürich

","

Preis

CHF
365 Jahr/m2


","
Fläche
232 m2
","
Zimmer
-
"
137,30.05.2019,Büro,"

Adresse
Stampfenbachstrasse 63
8006 Zürich

","

Preis

CHF
5'700 pro Monat


","
Fläche
154 m2
","
Zimmer
-
"
