,PLZ,Kanton
1981,4582,Solothurn
1982,4583,Solothurn
1983,4586,Solothurn
1984,4587,Solothurn
1986,4112,Solothurn
1987,4413,Solothurn
1988,4143,Solothurn
1989,4145,Solothurn
1990,4146,Solothurn
1992,4114,Solothurn
1993,4115,Solothurn
1995,4116,Solothurn
1996,4412,Solothurn
1997,4421,Solothurn
1998,4118,Solothurn
1999,4206,Solothurn
2000,4108,Solothurn
2002,4632,Solothurn
2003,4633,Solothurn
2004,4468,Solothurn
2005,4634,Solothurn
2006,4654,Solothurn
2007,5013,Solothurn
2008,4653,Solothurn
2009,4655,Solothurn
2011,4600,Solothurn
2014,4652,Solothurn
2017,5015,Solothurn
2018,5017,Solothurn
2020,4500,Solothurn
2021,4528,Solothurn
2022,4562,Solothurn
2025,4542,Solothurn
2026,4543,Solothurn
2027,4552,Solothurn
2028,4554,Solothurn
2029,4563,Solothurn
2030,4566,Solothurn
2031,4557,Solothurn
2041,4565,Solothurn
2042,4553,Solothurn
2044,4558,Solothurn
2045,4524,Solothurn
2046,4525,Solothurn
2048,4512,Solothurn
2049,2544,Solothurn
2050,4532,Solothurn
2051,4534,Solothurn
2053,2540,Solothurn
2056,4535,Solothurn
2059,4513,Solothurn
2061,4514,Solothurn
2062,4515,Solothurn
2063,4522,Solothurn
2064,4523,Solothurn
2065,4533,Solothurn
2069,2545,Solothurn
2071,4618,Solothurn
2072,4658,Solothurn
2073,4657,Solothurn
2074,5746,Solothurn
2075,5012,Solothurn
2076,4629,Solothurn
2078,5014,Solothurn
2079,4614,Solothurn
2080,4616,Solothurn
2081,4617,Solothurn
2084,4615,Solothurn
2088,4612,Solothurn
2089,4663,Solothurn
2090,4613,Solothurn
2093,4656,Solothurn
2099,4252,Solothurn
2100,4253,Solothurn
2103,4226,Solothurn
2104,4227,Solothurn
2105,4228,Solothurn
2106,4233,Solothurn
2107,4232,Solothurn
2108,4247,Solothurn
2109,4204,Solothurn
2110,2814,Solothurn
2111,4245,Solothurn
2114,4208,Solothurn
2115,4234,Solothurn
2116,4001,Basel-Stadt
2117,4031,Basel-Stadt
2118,4051,Basel-Stadt
2119,4052,Basel-Stadt
2120,4053,Basel-Stadt
2121,4054,Basel-Stadt
2122,4055,Basel-Stadt
2123,4056,Basel-Stadt
2124,4057,Basel-Stadt
2125,4058,Basel-Stadt
2126,4059,Basel-Stadt
2127,4126,Basel-Stadt
2129,4125,Basel-Stadt
2130,4147,Basel-Landschaft
2131,4153,Basel-Landschaft
2132,4202,Basel-Landschaft
2133,4123,Basel-Landschaft
2134,4144,Basel-Landschaft
2135,4105,Basel-Landschaft
2137,4101,Basel-Landschaft
2138,4102,Basel-Landschaft
2139,4127,Basel-Landschaft
2142,4103,Basel-Landschaft
2143,4107,Basel-Landschaft
2145,4142,Basel-Landschaft
2148,4132,Basel-Landschaft
2149,4133,Basel-Landschaft
2151,4104,Basel-Landschaft
